epoch,train_loss,val_loss,val_accuracy,learning_rate
1,3.3510131249270176,2.2264037346384327,16.127388535031848,0.1
2,2.2101294995864977,2.1440383054951955,20.484076433121018,0.1
3,2.176633028486032,2.1633347861782,19.388535031847134,0.1
4,2.1481376386945206,2.08582715663181,22.70063694267516,0.1
5,2.1057034455832264,1.9997495791259086,26.318471337579616,0.1
6,2.054193374435581,1.962409556322037,29.477707006369428,0.1
7,2.0252654706050732,1.9211354154841915,32.02547770700637,0.1
8,1.984864909440666,1.8136945418339625,35.6687898089172,0.1
9,1.9394127852260306,1.7558601438012094,38.11464968152866,0.1
10,1.8584050594381802,1.704738620071654,41.29936305732484,0.1
11,1.765609161694408,1.572993726973321,44.76433121019108,0.1
12,1.6779308955613255,1.4966787660501566,48.86624203821656,0.1
13,1.6071594229644903,1.395108903836293,52.3312101910828,0.1
14,1.5419333697322153,1.3199643044562857,55.82165605095541,0.1
15,1.5058723821321753,1.2451050700959128,57.197452229299365,0.1
16,1.430665247656121,1.2214254874332695,59.617834394904456,0.1
17,1.3689890732570313,1.1984549105698896,59.87261146496815,0.1
18,1.327364986871185,1.1119081805466087,63.261146496815286,0.1
19,1.2815729629428174,1.1376525178532693,62.06369426751592,0.1
20,1.2435884330551907,1.0861404493659925,64.05095541401273,0.1
21,1.2065562006915833,0.9902391035845325,66.98089171974522,0.1
22,1.161581988558244,0.9585477871500003,68.6624203821656,0.1
23,1.1214935749356907,0.9073784454612975,70.03821656050955,0.1
24,1.116585974337521,0.8529483684916405,72.50955414012739,0.1
25,1.073136408139665,0.9294806696654885,69.78343949044586,0.1
26,1.0359112128295922,0.8802513008968086,71.7452229299363,0.1
27,1.0324453925970603,0.8492228864104885,72.6624203821656,0.1
28,0.9818927937191484,0.7963435969686812,74.828025477707,0.1
29,0.9733483176231887,0.9823246783056077,69.47770700636943,0.1
30,0.9537264666998949,0.767797133163282,75.36305732484077,0.1
31,0.9267088338482504,0.7961911340883583,74.47133757961784,0.1
32,0.9342242520743558,0.8400159899444337,72.73885350318471,0.1
33,0.8910020938115004,0.6934438951607722,77.75796178343948,0.1
34,0.8671367846618976,0.761915597824534,75.77070063694268,0.1
35,0.8744093206392345,0.7518122707051077,75.54140127388536,0.1
36,0.8332587292521944,0.7258806112921162,77.35031847133757,0.1
37,0.8350940710615238,0.6881015517909056,77.5031847133758,0.1
38,0.8158789293317082,0.6410099418603691,80.53503184713375,0.1
39,0.8185199399736719,0.8143939411867955,73.60509554140127,0.1
40,0.8235489237219117,0.6807177748497883,78.7515923566879,0.1
41,0.8075019766629995,0.6828263121501655,78.21656050955414,0.1
42,0.7889717291760865,0.6083694224752438,80.71337579617834,0.1
43,0.7571577131276096,0.6556223036073575,79.82165605095541,0.1
44,0.7500263258904512,0.6402167718273819,79.51592356687898,0.1
45,0.7271667378909837,0.6248838631362672,80.0,0.1
46,0.716591442030402,0.5919007912411052,81.29936305732484,0.1
47,0.7082321516990863,0.5640552197292352,81.55414012738854,0.1
48,0.7079703214742878,0.673902903544675,78.34394904458598,0.1
49,0.6951548911435185,0.5306738982534712,83.03184713375796,0.1
50,0.6918035385940782,0.7005691242369877,77.63057324840764,0.1
51,0.6941564591397503,0.5586216119748012,82.19108280254777,0.1
52,0.6565670276446055,0.5700702957590674,82.14012738853503,0.1
53,0.6635873409180697,0.5553763511530153,81.93630573248407,0.1
54,0.6578620719310411,0.5268052424291136,83.05732484076434,0.1
55,0.6495827686536122,0.7473994295764121,76.20382165605096,0.1
56,0.6539503410356275,0.5484744416984023,82.90445859872611,0.1
57,0.6405889936171536,0.5625669632595816,81.47770700636943,0.1
58,0.6312692173180201,0.49785728076461017,83.92356687898089,0.1
59,0.6435090519581491,0.561570900488811,82.39490445859873,0.1
60,0.6183078856563377,0.5682126085469678,81.57961783439491,0.1
61,0.6227565556245289,0.541810288186286,82.31847133757962,0.1
