==== JOB START : Mon 18 Aug 2025 07:38:47 PM KST ====
/data/clue9986/anaconda3/bin/python
Epoch [61/865], Train Loss: 0.0663, Validation Loss: 1.1493, Validation Accuracy: 69.27%
Epoch [62/865], Train Loss: 0.0641, Validation Loss: 1.1527, Validation Accuracy: 69.17%
Epoch [63/865], Train Loss: 0.0640, Validation Loss: 1.1521, Validation Accuracy: 69.10%
Epoch [64/865], Train Loss: 0.0660, Validation Loss: 1.1508, Validation Accuracy: 68.89%
Epoch [65/865], Train Loss: 0.0651, Validation Loss: 1.1571, Validation Accuracy: 69.15%
Epoch [66/865], Train Loss: 0.0651, Validation Loss: 1.1551, Validation Accuracy: 69.12%
Epoch [67/865], Train Loss: 0.0676, Validation Loss: 1.1542, Validation Accuracy: 69.04%
Epoch [68/865], Train Loss: 0.0636, Validation Loss: 1.1479, Validation Accuracy: 69.15%
Epoch [69/865], Train Loss: 0.0656, Validation Loss: 1.1522, Validation Accuracy: 68.97%
Epoch [70/865], Train Loss: 0.0644, Validation Loss: 1.1549, Validation Accuracy: 68.94%
Epoch [71/865], Train Loss: 0.0658, Validation Loss: 1.1569, Validation Accuracy: 68.99%
Epoch [72/865], Train Loss: 0.0642, Validation Loss: 1.1565, Validation Accuracy: 68.92%
Epoch [73/865], Train Loss: 0.0654, Validation Loss: 1.1563, Validation Accuracy: 69.04%
Epoch [74/865], Train Loss: 0.0651, Validation Loss: 1.1571, Validation Accuracy: 69.20%
Epoch [75/865], Train Loss: 0.0647, Validation Loss: 1.1528, Validation Accuracy: 69.07%
Epoch [76/865], Train Loss: 0.0647, Validation Loss: 1.1513, Validation Accuracy: 69.07%
Epoch [77/865], Train Loss: 0.0647, Validation Loss: 1.1544, Validation Accuracy: 69.07%
Epoch [78/865], Train Loss: 0.0643, Validation Loss: 1.1538, Validation Accuracy: 69.20%
Epoch [79/865], Train Loss: 0.0672, Validation Loss: 1.1505, Validation Accuracy: 69.17%
Epoch [80/865], Train Loss: 0.0657, Validation Loss: 1.1520, Validation Accuracy: 68.97%
Epoch [81/865], Train Loss: 0.0650, Validation Loss: 1.1534, Validation Accuracy: 69.04%
Epoch [82/865], Train Loss: 0.0662, Validation Loss: 1.1551, Validation Accuracy: 68.97%
Epoch [83/865], Train Loss: 0.0664, Validation Loss: 1.1522, Validation Accuracy: 68.87%
Epoch [84/865], Train Loss: 0.0646, Validation Loss: 1.1482, Validation Accuracy: 69.10%
Epoch [85/865], Train Loss: 0.0668, Validation Loss: 1.1530, Validation Accuracy: 69.04%
Epoch [86/865], Train Loss: 0.0654, Validation Loss: 1.1561, Validation Accuracy: 69.07%
Epoch [87/865], Train Loss: 0.0644, Validation Loss: 1.1547, Validation Accuracy: 68.97%
Epoch [88/865], Train Loss: 0.0664, Validation Loss: 1.1506, Validation Accuracy: 69.20%
Epoch [89/865], Train Loss: 0.0650, Validation Loss: 1.1510, Validation Accuracy: 69.22%
Epoch [90/865], Train Loss: 0.0654, Validation Loss: 1.1494, Validation Accuracy: 69.25%
Epoch [91/865], Train Loss: 0.0643, Validation Loss: 1.1563, Validation Accuracy: 68.89%
Epoch [92/865], Train Loss: 0.0647, Validation Loss: 1.1535, Validation Accuracy: 69.07%
Epoch [93/865], Train Loss: 0.0635, Validation Loss: 1.1515, Validation Accuracy: 68.94%
Epoch [94/865], Train Loss: 0.0648, Validation Loss: 1.1569, Validation Accuracy: 69.22%
Epoch [95/865], Train Loss: 0.0648, Validation Loss: 1.1565, Validation Accuracy: 69.30%
Epoch [96/865], Train Loss: 0.0673, Validation Loss: 1.1605, Validation Accuracy: 69.22%
Epoch [97/865], Train Loss: 0.0641, Validation Loss: 1.1580, Validation Accuracy: 69.10%
Epoch [98/865], Train Loss: 0.0659, Validation Loss: 1.1469, Validation Accuracy: 69.02%
Epoch [99/865], Train Loss: 0.0640, Validation Loss: 1.1530, Validation Accuracy: 68.97%
Epoch [100/865], Train Loss: 0.0640, Validation Loss: 1.1531, Validation Accuracy: 69.12%
Epoch [101/865], Train Loss: 0.0649, Validation Loss: 1.1568, Validation Accuracy: 69.04%
Epoch [102/865], Train Loss: 0.0672, Validation Loss: 1.1552, Validation Accuracy: 68.99%
Epoch [103/865], Train Loss: 0.0644, Validation Loss: 1.1518, Validation Accuracy: 68.92%
Epoch [104/865], Train Loss: 0.0641, Validation Loss: 1.1528, Validation Accuracy: 68.92%
Epoch [105/865], Train Loss: 0.0669, Validation Loss: 1.1549, Validation Accuracy: 69.10%
Epoch [106/865], Train Loss: 0.0655, Validation Loss: 1.1593, Validation Accuracy: 69.07%
Epoch [107/865], Train Loss: 0.0637, Validation Loss: 1.1539, Validation Accuracy: 68.94%
Epoch [108/865], Train Loss: 0.0654, Validation Loss: 1.1505, Validation Accuracy: 68.94%
Epoch [109/865], Train Loss: 0.0646, Validation Loss: 1.1525, Validation Accuracy: 68.94%
Epoch [110/865], Train Loss: 0.0656, Validation Loss: 1.1573, Validation Accuracy: 69.20%
Epoch [111/865], Train Loss: 0.0645, Validation Loss: 1.1528, Validation Accuracy: 69.07%
Epoch [112/865], Train Loss: 0.0652, Validation Loss: 1.1483, Validation Accuracy: 68.99%
Epoch [113/865], Train Loss: 0.0645, Validation Loss: 1.1521, Validation Accuracy: 68.87%
