epoch,train_loss,val_loss,val_accuracy
1,1.90688492961832,1.597081029802803,47.49044585987261
2,1.5012161685405552,1.3986712032701911,54.77707006369427
3,1.3308449925200359,1.3231323671534778,56.53503184713376
4,1.1671277989406843,1.1259875384772695,62.92993630573248
5,1.041778368321625,1.0568510313344195,65.57961783439491
6,0.9846011243156485,1.0777512156381839,65.73248407643312
7,0.910062487967111,1.028058373831152,67.10828025477707
8,0.8261697967914311,1.0043420505717517,67.43949044585987
9,0.7552301432635333,1.0025871467541874,69.07006369426752
10,0.7156546387720752,0.958815647092292,69.93630573248407
