epoch,train_loss,val_loss,val_accuracy,learning_rate
1,2.3410195873762865,2.975664319870578,18.318471337579616,0.1
2,2.1882690642096323,2.2366764142103257,18.598726114649683,0.1
3,2.128858018568544,2.17977671471371,20.993630573248407,0.1
4,2.0821628611849965,2.013504361012939,25.401273885350317,0.1
5,2.044650974061172,2.0252294298342077,24.280254777070063,0.1
6,1.9969893579486053,1.9023084589782036,31.235668789808916,0.1
7,1.9699717733774156,1.956891803012532,29.75796178343949,0.1
8,1.9168675457717423,1.8765861284049454,34.853503184713375,0.1
9,1.8805630325905964,1.8883556423976922,34.29299363057325,0.1
10,1.8520810100644252,1.8523849237648544,33.22292993630573,0.1
11,1.8045884875010407,1.6891214054860886,41.98726114649681,0.1
12,1.7642111602384973,1.761621377331436,39.51592356687898,0.1
13,1.712054173311118,1.570176978718703,45.07006369426752,0.1
14,1.676166966052352,1.4927341770973934,49.32484076433121,0.1
15,1.6352007038704834,1.5080588261792613,48.63694267515923,0.1
16,1.6242574735860635,1.5244557522208828,48.611464968152866,0.1
17,1.5645637953592362,1.4265136644642824,51.54140127388535,0.1
18,1.5077430060577313,1.359774853894665,54.92993630573248,0.1
19,1.4808960176594395,1.3670439938223287,53.32484076433121,0.1
20,1.4518475391656045,1.32190625582531,54.59872611464968,0.1
21,1.419759242886386,1.2329761632688485,58.87898089171974,0.1
22,1.3971611022798145,1.2906480175674342,56.45859872611465,0.1
23,1.3818768901524818,1.2350083185001544,58.34394904458599,0.1
24,1.3397025600231516,1.3058128879935877,56.611464968152866,0.1
25,1.329764787732063,1.3605532815957524,54.01273885350319,0.1
26,1.2840629646349815,1.2784216007912994,56.789808917197455,0.1
27,1.26808584982773,1.2807625742626798,57.70700636942675,0.1
28,1.2481629941138412,1.4192551855828353,55.56687898089172,0.1
29,1.2448188707787984,1.096231148744085,63.71974522292994,0.1
30,1.2004428748684632,1.286723178450469,59.18471337579618,0.1
31,1.1965904931153928,1.1264364375885885,63.46496815286624,0.1
32,1.1518656771768925,1.1203273852615598,62.802547770700635,0.1
33,1.150432784311345,1.0639670725233237,64.9171974522293,0.1
34,1.1349601129101201,1.0601007166941454,65.01910828025478,0.1
35,1.1320676170718345,1.1620883695031428,62.318471337579616,0.1
36,1.0996190889897146,1.080549755035692,65.22292993630573,0.1
37,1.0827107028153444,0.983262215328824,67.89808917197452,0.1
38,1.0859108443672623,0.9291908192786441,69.47770700636943,0.1
