epoch,train_loss,val_loss,val_accuracy
1,1.9032652265316732,1.8945242339564907,38.21656050955414
2,1.4134241423091374,1.5690826081460523,49.2484076433121
3,1.1715202774550464,1.0995802879333496,64.94267515923566
4,1.0296633042193748,1.2593886227377,60.17834394904459
5,0.898260040057672,1.7210130614619101,50.06369426751592
6,0.7980214381540144,1.398069671084804,59.82165605095541
7,0.7022123675088625,0.8109802507585094,74.70063694267516
8,0.6375991774571909,1.0403379586435133,69.37579617834395
9,0.5908210938041275,0.8615813678310763,72.71337579617834
10,0.5213209495351121,0.8851369686665074,72.40764331210191
11,0.4812034151038608,0.9648967500655882,72.50955414012739
12,0.3140706240728095,0.5736002239488787,82.03821656050955
13,0.24977362437828168,0.5725106380639537,82.47133757961784
14,0.22206059319747462,0.5770211138071553,82.92993630573248
15,0.2043192968577952,0.565394930301174,83.69426751592357
16,0.18340758053032127,0.5743520903971887,83.49044585987261
17,0.17752740300587705,0.5810964602616525,83.4140127388535
18,0.16118995442583756,0.5802781860674581,84.02547770700637
19,0.15320116412397977,0.6025914876691757,83.64331210191082
20,0.1380827083579592,0.6136424724132784,83.46496815286625
21,0.1300766485667712,0.6214805620331918,83.89808917197452
22,0.12290119550920822,0.6141190807665547,84.17834394904459
23,0.11156747414654977,0.6284400032412621,83.94904458598727
24,0.09803185606929096,0.6201982945203781,84.53503184713375
25,0.09215519718221717,0.6495879720295629,84.10191082802548
26,0.08401230284692468,0.6580562543484473,83.56687898089172
27,0.07687891830967085,0.6500835764792657,83.84713375796179
28,0.07117162634794777,0.6700801541728358,83.51592356687898
29,0.06257908876884628,0.6508420792318159,84.71337579617834
30,0.055547109326800785,0.6556496197177518,84.43312101910828
31,0.057520928062699934,0.6547489675783342,84.6624203821656
32,0.05492050220837464,0.6514908676185915,84.94267515923566
33,0.05848006423361398,0.652616701779827,84.81528662420382
34,0.05489027960779699,0.6577680428181926,84.73885350318471
35,0.05122292071983621,0.6560569977568041,84.53503184713375
